Código de reporte / ticket,Fecha de reporte,Módulo,Plataforma,Version,Sistema operativo,Dispositivo utilizado,Versión de navegador / app,Tipo de incidencia,Prioridad,Título,Descripción,Pasos para reproducir,Sugerencia,Evidencia,Reporter,Estatus de resolución - Desarrollador,Desarrollador que coloca el estatus,Fecha de resolucion,Version de la solucion,Estatus de resolución - Tester,Tester que coloca el estatus,Fecha de revision
EDEN-01,1/11/2022,Creacion de cuenta,Mobile,0.0.2,Android,,2.0,Error,BAJA,Error en el modal de Continua con tu registro en el modulo de creacion de cuenta,"El modal de continua con tu registro, en el figma aparece sin negritas en el titulo y el boton de aceptar esta a la derecha y en la app tiene la negritas y el boton en el centro.","1.Tener la app descargada
2.Ubicar la opcion de crear cuenta y darle click
3.Colocar el correo que desees y darle al boton de continuar.
4.Ver el modal.",,EVIDENCIA 1,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-02,1/11/2022,Creacion de cuenta,Mobile,0.0.2,Android,,2.0,Error,BAJA,Error en la longitud del campo de texto de  correo en el  modulo de creacion de cuenta,El campo de texto que va a contener el correo no tiene la dimensiones correctas segun el figma.,"1.Tener la app descargada
2.Ubicar la opcion de crear cuenta y darle click
3.Ubicar el campo de correo.",,EVIDENCIA 2,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-03,2/11/2022,Creacion de cuenta,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,"Error en el modulo de creacion de usuario, al enviar codigo de confirmacion al correo electronico.","Al crear una nueva cuenta de usuario con correo electronico personal, el aplicativo muestra el mensaje de confirmar el codigo de verificacion enviado por correo, pero este nunca llega.","1.Ingresar en Eden
2.Ingresar en ''Crear cuenta''
3.Colocar correo electronico y presionar continuar.
4.Verificar bandeja de correo electronico.",,EVIDENCIA 3,Jezhiel Torres,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-04,2/11/2022,Creacion de cuenta,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en los campos para seleccionar el pais en donde se reside y pais de origen,"Al llegar a la parte de seleccionar el pais, en la fase de registro se muestran 2 campos, uno para indicar el pais de origen y el otro para poner el pais donde se reside pero estos campos no tienen ninguna accion, no permite escribir el pais, solo permite escogerlo mediante la opcion de la lupa, ademas los campos no contienen los helpers para identificar para que es cada campo.","1.Ingresar en Eden
2.Crear cuenta ya sea por Google o de manera manual
3. Verificar los campos al llegar a la sesion de seleccion de pais
",,EVIDENCIA 4,Jezhiel Torres,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-05,2/11/2022,Creacion de cuenta,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error de visualizacion en la pantalla de informacion al escoger la fecha de nacimiento,Al visualizar la parte de escoger la fecha de nacimiento al hacer registro de usuario nuevo se dificulta lo visual de el aplicativo ya que se torna en un color oscuro. ,"1.Ingresar en Eden
2.Crear cuenta ya sea por Google o de manera manual
3. Llegar al paso de fecha de nacimiento y verificar la pantalla
",,EVIDENCIA 5,Jezhiel Torres,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-06,2/11/2022,Creacion de cuenta,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el selector para seleccionar fecha de nacimiento en la parte de informacion personal,"Al crear una cuenta y llegar a la parte de escoger fecha de nacimiento el selector de numeros en el dia ocasionalmente presenta dificultades para la seleccion, ya que se adelanta o atrasa solo y no permite la seleccion.","1.Ingresar en Eden
2.Crear cuenta ya sea por Google o de manera manual
3. Llegar al paso de fecha de nacimiento y verificar el selector
", Quitar los datos en dia y mes en fechas posteriores para evitar confundir al usuario.,EVIDENCIA 6,jezhiel Torres,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-07,2/11/2022,Creacion de cuenta,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el campo de escritura en personaliza tu perfil en la cantidad de caracteres para escribir.,"Al crear una cuenta y llegar al paso de personalizar el perfil, el sitio indica que se ponga una frase que te describa. El numero de caracteres limites es de 200, pero al escribir el sistema sigue permitiendo mas de lo que se indica.","1.Ingresar en Eden
2.Crear cuenta ya sea por Google o de manera manual
3. Llegar al paso de personalizar perfil y verificar los numeros de caracteres.
",,EVIDENCIA 7,jezhiel Torres,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-08,3/11/2022,Creacion de cuenta/Iniciar sesion,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en campos de contraseña,"Al crear una cuenta o al acceder a una, cuando pide contraseña el campo permite todo tipo de caracteres. espacios y hasta cantidades infinitas de caracteres.","1.Ingresar en Eden
2.Crear cuenta ya sea por Google o de manera manual
3. Llegar al paso de crear contraseña, o ingresar contraseña y verificar los campos.
",,EVIDENCIA 8,Jezhiel Torres,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-09,3/11/2022,Creacion de cuenta,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Helpers de ayuda no se muestran en el aplicativo,Al crear una nueva cuenta y llegar a la parte de seleccionar pais de origen y pais donde reside se muestran 2 campos pero no se identifica cual es cual.,"1.Ingresar en Eden
2.Crear cuenta ya sea por Google o de manera manual
3. Llegar al paso de seleccionar pais y verificar los campos.
",,EVIDENCIA 9,Jezhiel Torres,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-10,3/11/2022,Todos los modulos,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Logo ''Eden'' se encuentra de otro tamano al resto,Al entrar en el aplicativo se puede notar en la navbar una serie de iconos en el cual hay uno en especifico ''Eden'' que se muestra mas pequeños que los demas.,"""1.Ingresar en Eden
2.Ingresar en una cuenta ya sea por Google o de manera manual
3. Verificar el campo ''EDEN'' en la navbar.
""",,EVIDENCIA 10,Jezhiel Torres,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
